id,term,category,weight
683,ayam buah keluak,positive,0.664
2824,eyeglass candy,positive,0.663
342,ah pek ice cream,positive,0.662
2644,eh hiao cho lang,positive,0.662
9033,thoughtful,positive,0.662
956,berg,positive,0.661
40,accede,positive,0.66
42,accept alternative,positive,0.66
306,agreement,positive,0.66
431,also can,positive,0.66
8387,step fierce,negative,-0.665
2098,cry papa cry mama,negative,-0.663
8300,sprout nonsense,negative,-0.663
1437,cannot keep secret,negative,-0.662
5902,mulut tempayan,negative,-0.662
2740,erxin dabian,negative,-0.661
7544,saman auntie,negative,-0.661
465,ang kong,negative,-0.66
2924,fearsome,negative,-0.66
7929,si noong kia,negative,-0.66
